"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"26.11.2019","182,54","181,21","182,91","181,21","2,93M","0,87%"
"25.11.2019","180,97","180,40","181,33","180,12","5,46M","0,84%"
"22.11.2019","179,47","180,13","180,47","178,35","6,87M","-0,23%"
"21.11.2019","179,89","181,17","181,81","179,31","5,11M","-0,97%"
"20.11.2019","181,66","182,31","183,22","180,35","6,04M","-0,61%"
"19.11.2019","182,77","180,39","182,98","180,20","8,55M","1,73%"
"18.11.2019","179,66","179,57","180,32","178,98","7,18M","-0,06%"
"15.11.2019","179,77","180,03","180,68","179,08","7,81M","0,01%"
"14.11.2019","179,75","179,00","179,77","178,06","9,81M","0,19%"
"13.11.2019","179,41","179,40","180,88","177,90","6,16M","-0,18%"
"12.11.2019","179,74","179,94","181,06","178,88","6,12M","0,11%"
"11.11.2019","179,54","178,50","180,36","178,20","3,62M","0,32%"
"08.11.2019","178,97","178,38","179,45","177,80","3,89M","0,30%"
"07.11.2019","178,43","177,35","180,65","176,85","7,23M","0,94%"
"06.11.2019","176,77","176,37","178,19","176,14","6,99M","0,23%"
"05.11.2019","176,37","179,07","179,56","175,18","7,45M","-1,44%"
"04.11.2019","178,95","182,08","182,40","178,81","7,15M","-1,09%"
"01.11.2019","180,93","180,13","181,32","179,56","7,00M","1,16%"
"31.10.2019","178,86","179,25","179,70","178,01","6,83M","-0,22%"
"30.10.2019","179,25","177,79","179,42","176,39","5,37M","0,91%"
"29.10.2019","177,63","179,80","180,00","177,37","7,57M","-1,23%"
"28.10.2019","179,84","178,93","180,18","178,35","10,09M","1,12%"
"25.10.2019","177,85","174,93","179,15","173,50","10,13M","0,96%"
"24.10.2019","176,16","173,42","176,87","173,40","8,13M","2,83%"
"23.10.2019","171,32","170,99","172,17","170,18","7,17M","0,27%"
"22.10.2019","170,86","177,00","177,79","170,78","10,18M","-3,16%"
"21.10.2019","176,43","176,00","176,73","174,61","4,93M","0,41%"
"18.10.2019","175,71","177,90","178,20","174,55","6,31M","-1,25%"
"17.10.2019","177,94","178,89","179,19","177,50","4,91M","0,04%"
"16.10.2019","177,87","177,92","178,26","176,27","6,52M","-0,49%"
"15.10.2019","178,75","178,13","179,43","177,55","4,45M","0,78%"
"14.10.2019","177,36","177,38","178,41","177,11","7,26M","0,17%"
"11.10.2019","177,06","176,87","179,20","176,85","8,95M","1,25%"
"10.10.2019","174,88","173,89","175,90","173,59","4,85M","0,00%"
"09.10.2019","174,88","174,11","175,99","173,64","6,34M","1,43%"
"08.10.2019","172,42","173,57","174,64","171,88","5,50M","-1,42%"
"07.10.2019","174,90","174,66","175,69","173,80","5,30M","-0,61%"
"04.10.2019","175,98","174,68","176,52","174,44","6,12M","1,80%"
"03.10.2019","172,87","169,91","173,14","168,63","7,35M","1,79%"
"02.10.2019","169,83","172,64","172,94","168,59","10,72M","-2,56%"
"01.10.2019","174,29","173,02","174,81","172,82","8,22M","1,33%"
"30.09.2019","172,01","174,17","175,45","172,01","16,61M","-1,14%"
"27.09.2019","174,00","176,70","176,83","172,36","9,31M","-0,94%"
"26.09.2019","175,65","175,65","176,45","174,61","10,43M","0,21%"
"25.09.2019","175,28","173,80","175,67","172,39","7,83M","0,46%"
"24.09.2019","174,48","176,11","177,20","173,40","10,43M","-0,25%"
"23.09.2019","174,91","172,90","175,25","172,79","8,84M","0,49%"
"20.09.2019","174,06","177,40","177,63","173,95","12,94M","-1,08%"
"19.09.2019","175,96","176,20","177,41","175,61","7,03M","0,38%"
"18.09.2019","175,29","177,09","177,18","172,82","9,76M","-0,66%"
"17.09.2019","176,45","176,83","178,26","175,04","5,94M","0,19%"
"16.09.2019","176,11","176,17","177,20","175,51","4,25M","-0,65%"
